host,dopant,site,ad,BC-32a-d,BW-32a-d,BF-32a-d,BC-32a-s,BW-32a-s,BF-32a-s,BC-32a-p,BW-32a-p,BF-32a-p,TC-32a,TC-32a-s,TC-32a-p,TC-32a-d,BC-31a-d,BW-31a-d,BF-31a-d,BC-31a-s,BW-31a-s,BF-31a-s,BC-31a-p,BW-31a-p,BF-31a-p,TC-31a,TC-31a-s,TC-31a-p,TC-31a-d,FE-x1,TC-31a-del,TC-32a-del,ZPP-s-h-ZPP-s-dp-del,ZPP-p-h-ZPP-p-dp-del,ZPP-d-h-ZPP-d-dp-del,CR-h-CR-dp-del,MR-h-MR-dp-del,AR-h-AR-dp-del,VdWR-h-VdWR-dp-del,NE-s-h-NE-s-dp-del,NE-p-h-NE-p-dp-del,NE-d-h-NE-d-dp-del,GCN,Z-am,VE-am,FIE-wm,EA-wm,EN-wm,EN-gm,NSRS-h,NSRC-h,Z-h,G-h,EN-h,EA-h,AM-h,BP-h,MP-h,MV-h,WF-h,DP-h,Rho-h,HVap-h,LatCon-h,P-h,SH-h,TCon-h,HF-h,FIE-h,NSRS-dp,NSRC-dp,Z-dp,G-dp,EN-dp,EA-dp,AM-dp,BP-dp,MP-dp,MV-dp,WF-dp,DP-dp,Rho-dp,HVap-dp,LatCon-dp,P-dp,SH-dp,TCon-dp,HF-dp,FIE-dp,e_ads,sys
Pt,Ni,b2,CO,-5.078677786,1.158048231,0.998335899,-5.541996032,3.77729074,0.918105863,-4.438586814,3.48998858,0.934869397,9.9222,0.3574,0.8538,8.711,-6.085553965,1.703692782,0.997704786,-5.644834983,3.770339399,0.930520279,-4.300954754,3.51018452,0.927326571,9.9848,0.4636,0.7054,8.8158,0.310981699,0.0028,-0.0239,0.28,0.24,0.315,12,15,1,16,0,12,21,7.33,78.0,10.0,8.6950394,1.93151624,2.142,2.2,3.55,10.7514,78,10,2.2,2.125105,195.084,4098,2041.4,9.09,5.8,48.0,21.5,490,3.92,2.28,0.133,71.6,20.0,8.95883,4.05,5.7108,28,10,1.91,1.1571612,58.6934,3186,1728.0,6.59,5.32,49.0,8.9,378,3.52,1.91,0.444,90.9,17.2,7.639877,-1.6,ni-pt111-b2
Pt,Ni,b1,CO,-5.078677786,1.158048231,0.998335899,-5.541996032,3.77729074,0.918105863,-4.438586814,3.48998858,0.934869397,9.9222,0.3574,0.8538,8.711,-6.085553965,1.703692782,0.997704786,-5.644834983,3.770339399,0.930520279,-4.300954754,3.51018452,0.927326571,9.9848,0.4636,0.7054,8.8158,0.310981699,0.0028,-0.0239,0.28,0.24,0.315,12,15,1,16,0,12,21,7.33,53.0,10.0,8.6950394,1.93151624,2.142,2.049878045,3.55,10.7514,78,10,2.2,2.125105,195.084,4098,2041.4,9.09,5.8,48.0,21.5,490,3.92,2.28,0.133,71.6,20.0,8.95883,4.05,5.7108,28,10,1.91,1.1571612,58.6934,3186,1728.0,6.59,5.32,49.0,8.9,378,3.52,1.91,0.444,90.9,17.2,7.639877,-1.47,ni-pt111-b1
Pt,Ir,t2,CO,-1.666182203,2.013991836,0.786076275,-1.979253284,4.005090211,0.643647701,-0.378073833,3.542238868,0.484171352,8.9105,0.4379,0.8223,7.6504,-1.952377427,1.750642938,0.892454646,-1.469472268,3.894180925,0.609857537,-0.270543514,3.576435123,0.475910334,9.9645,0.4642,0.717,8.7834,0.654553467,-0.0175,-0.0992,0.08,-0.008,-0.016,-5,3,-10,0,0,0,2,7.5,78.0,10.0,8.960468,2.0129563,2.2,2.2,3.55,10.7514,78,10,2.2,2.125105,195.084,4098,2041.4,9.09,5.8,48.0,21.5,490,3.92,2.28,0.133,71.6,20.0,8.95883,3.9,10.5666,77,9,2.2,1.5643615,192.217,4701,2739.0,8.52,5.76,54.0,22.5622,560,3.84,2.2,0.131,147.0,26.0,8.96702,-1.39,ir-pt111-t2
Pt,Ir,h2,CO,-1.666182203,2.013991836,0.786076275,-1.979253284,4.005090211,0.643647701,-0.378073833,3.542238868,0.484171352,8.9105,0.4379,0.8223,7.6504,-1.952377427,1.750642938,0.892454646,-1.469472268,3.894180925,0.609857537,-0.270543514,3.576435123,0.475910334,9.9645,0.4642,0.717,8.7834,0.654553467,-0.0175,-0.0992,0.08,-0.008,-0.016,-5,3,-10,0,0,0,2,7.5,78.0,10.0,8.960468,2.0129563,2.2,2.2,3.55,10.7514,78,10,2.2,2.125105,195.084,4098,2041.4,9.09,5.8,48.0,21.5,490,3.92,2.28,0.133,71.6,20.0,8.95883,3.9,10.5666,77,9,2.2,1.5643615,192.217,4701,2739.0,8.52,5.76,54.0,22.5622,560,3.84,2.2,0.131,147.0,26.0,8.96702,-1.39,ir-pt111-h2
Pt,Ir,t1,CO,-1.666182203,2.013991836,0.786076275,-1.979253284,4.005090211,0.643647701,-0.378073833,3.542238868,0.484171352,8.9105,0.4379,0.8223,7.6504,-1.952377427,1.750642938,0.892454646,-1.469472268,3.894180925,0.609857537,-0.270543514,3.576435123,0.475910334,9.9645,0.4642,0.717,8.7834,0.654553467,-0.0175,-0.0992,0.08,-0.008,-0.016,-5,3,-10,0,0,0,2,7.5,77.0,9.0,8.960468,2.0129563,2.2,2.2,3.55,10.7514,78,10,2.2,2.125105,195.084,4098,2041.4,9.09,5.8,48.0,21.5,490,3.92,2.28,0.133,71.6,20.0,8.95883,3.9,10.5666,77,9,2.2,1.5643615,192.217,4701,2739.0,8.52,5.76,54.0,22.5622,560,3.84,2.2,0.131,147.0,26.0,8.96702,-2.17,ir-pt111-h1
Pt,Ir,f2,CO,-1.666182203,2.013991836,0.786076275,-1.979253284,4.005090211,0.643647701,-0.378073833,3.542238868,0.484171352,8.9105,0.4379,0.8223,7.6504,-1.952377427,1.750642938,0.892454646,-1.469472268,3.894180925,0.609857537,-0.270543514,3.576435123,0.475910334,9.9645,0.4642,0.717,8.7834,0.654553467,-0.0175,-0.0992,0.08,-0.008,-0.016,-5,3,-10,0,0,0,2,6.95,78.0,10.0,8.960468,2.0129563,2.2,2.2,3.55,10.7514,78,10,2.2,2.125105,195.084,4098,2041.4,9.09,5.8,48.0,21.5,490,3.92,2.28,0.133,71.6,20.0,8.95883,3.9,10.5666,77,9,2.2,1.5643615,192.217,4701,2739.0,8.52,5.76,54.0,22.5622,560,3.84,2.2,0.131,147.0,26.0,8.96702,-1.4,ir-pt111-f2
Pt,Ir,b2,CO,-1.666182203,2.013991836,0.786076275,-1.979253284,4.005090211,0.643647701,-0.378073833,3.542238868,0.484171352,8.9105,0.4379,0.8223,7.6504,-1.952377427,1.750642938,0.892454646,-1.469472268,3.894180925,0.609857537,-0.270543514,3.576435123,0.475910334,9.9645,0.4642,0.717,8.7834,0.654553467,-0.0175,-0.0992,0.08,-0.008,-0.016,-5,3,-10,0,0,0,2,7.33,78.0,10.0,8.960468,2.0129563,2.2,2.2,3.55,10.7514,78,10,2.2,2.125105,195.084,4098,2041.4,9.09,5.8,48.0,21.5,490,3.92,2.28,0.133,71.6,20.0,8.95883,3.9,10.5666,77,9,2.2,1.5643615,192.217,4701,2739.0,8.52,5.76,54.0,22.5622,560,3.84,2.2,0.131,147.0,26.0,8.96702,-1.4,ir-pt111-b2
Pt,Au,t2,CO,-2.953511586,1.426724083,0.9699529,-0.882931019,3.731302727,0.553608633,0.524392389,3.567078123,0.39964523,10.8318,0.5282,0.6802,9.6234,-1.915260224,1.751693712,0.893389942,-1.43388559,3.921405659,0.599695181,-0.194410699,3.591843353,0.464951504,9.9934,0.4564,0.7251,8.812,-0.172334534,0.0114,-0.164,0.03,0.01,0.022,0,-4,4,-1,-4,0,-1,7.5,78.0,10.0,9.0121746,2.16180605,2.24,2.2,3.55,10.7514,78,10,2.2,2.125105,195.084,4098,2041.4,9.09,5.8,48.0,21.5,490,3.92,2.28,0.133,71.6,20.0,8.95883,3.7,10.938,79,11,2.4,2.30861025,196.966569,3129,1337.33,10.21,5.46,36.0,19.3,330,4.08,2.54,0.129,318.0,12.5,9.225553,-1.39,au-pt111-t2
Pt,Au,t1,CO,-2.953511586,1.426724083,0.9699529,-0.882931019,3.731302727,0.553608633,0.524392389,3.567078123,0.39964523,10.8318,0.5282,0.6802,9.6234,-1.915260224,1.751693712,0.893389942,-1.43388559,3.921405659,0.599695181,-0.194410699,3.591843353,0.464951504,9.9934,0.4564,0.7251,8.812,-0.172334534,0.0114,-0.164,0.03,0.01,0.022,0,-4,4,-1,-4,0,-1,7.5,79.0,11.0,9.0121746,2.16180605,2.24,2.4,3.55,10.7514,78,10,2.2,2.125105,195.084,4098,2041.4,9.09,5.8,48.0,21.5,490,3.92,2.28,0.133,71.6,20.0,8.95883,3.7,10.938,79,11,2.4,2.30861025,196.966569,3129,1337.33,10.21,5.46,36.0,19.3,330,4.08,2.54,0.129,318.0,12.5,9.225553,-0.13,au-pt111-t1
Pt,Au,h2,CO,-2.953511586,1.426724083,0.9699529,-0.882931019,3.731302727,0.553608633,0.524392389,3.567078123,0.39964523,10.8318,0.5282,0.6802,9.6234,-1.915260224,1.751693712,0.893389942,-1.43388559,3.921405659,0.599695181,-0.194410699,3.591843353,0.464951504,9.9934,0.4564,0.7251,8.812,-0.172334534,0.0114,-0.164,0.03,0.01,0.022,0,-4,4,-1,-4,0,-1,7.5,78.0,10.0,9.0121746,2.16180605,2.24,2.2,3.55,10.7514,78,10,2.2,2.125105,195.084,4098,2041.4,9.09,5.8,48.0,21.5,490,3.92,2.28,0.133,71.6,20.0,8.95883,3.7,10.938,79,11,2.4,2.30861025,196.966569,3129,1337.33,10.21,5.46,36.0,19.3,330,4.08,2.54,0.129,318.0,12.5,9.225553,-1.36,au-pt111-h2
